author,published_at,text
@DuoBiru,2025-09-14T13:36:49Z,Kata bang miawaug kan ada kelanjutannya apakah nnti perjalanan nyaa berkelanjutan lagi?
@ayolahsubscribe,2025-09-14T13:13:42Z,Dapur nya sama bentuk nya kayak dapur dirumahku btw aku lanang
@bregancraft-rm6vt,2025-09-14T11:14:03Z,ITU NAMA ANAK SAYA MAS REGI
@SitiMardiyatun-x1d,2025-09-14T09:09:43Z,Pas viktor berantem viktor malah berantem ama angin(R.I.P anhin)
@putriaprillia-h4u,2025-09-14T08:33:22Z,Horor gkk
@SeanHassan,2025-09-14T08:24:49Z,Donation goals in live streams work better with specific outcomes.
@Krisn_S,2025-09-14T08:20:49Z,"main horror terus ka regi, kali kali game adventure kek gitu kaya yang kenna bridge of spirit sama stray"
@sainahsainah6249,2025-09-14T03:51:09Z,dimana donlot game
@DelaAzalia-g1e,2025-09-14T02:14:56Z,Kagettt gue kocakkjantung
@MurniaNia-z3x,2025-09-13T23:35:45Z,𝘾𝙪𝙣𝙜 𝙮𝙜 𝙣𝙤𝙣𝙩𝙤𝙣𝙞𝙣 𝙢𝙞𝙖𝙬𝙖𝙪𝙜 𝙙𝙧 2020
@KadekWardani-z8i,2025-09-13T14:59:29Z,Warung nasgor adudu
@hirihyuga2239,2025-09-13T14:14:18Z,
@sukriIla,2025-09-13T13:00:28Z,Apa nama gem nya
@kandiskota8093,2025-09-13T12:45:16Z,Pas mamah nya di toilet aku nyebut hewan ini
@RamadhanPutra-g4t,2025-09-13T12:43:01Z,Astaga gaya helikopter
@sunartivivo9322,2025-09-13T09:28:38Z,
@ghaidafathin4280,2025-09-13T08:17:28Z,HAHAHA ASTAGA ngikik banget di ending ke 4  beneran bikin ketawa ngeliat jurus viktor
@classyaccount,2025-09-13T07:37:53Z,krik krik krik krik
@SteveNaufal,2025-09-13T07:11:07Z,Aku suka telur dadarrrr 
@IbuWiwi-q6k,2025-09-13T06:30:52Z,Adaa
@TempatCatatanRapi,2025-09-13T05:58:08Z,1.05.11 Digaruk-Garuk
@Liazahara-eu4uo,2025-09-13T05:33:33Z,"gw subscriber lama dri awal kak regi debut,slama ini cuma nonton aja gapernah komen wkwk"
@MelindaIrawati-b3o,2025-09-13T04:42:10Z,Lagi makan piring nya ga sengaja kesenggol  gara² kagetttt
@m.faizakbar1447,2025-09-13T03:58:51Z,"Sarapan jam a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1350""22:30a WIB "
@MeyditaFahirapuspadewi,2025-09-13T03:41:39Z,
@MeyditaFahirapuspadewi,2025-09-13T03:37:43Z,
@Akhtar-cd9nr,2025-09-13T03:36:10Z,ih seru bangets
@Amarprozz,2025-09-13T03:21:02Z,Saya yang orang Malaysia suke lihat horror lndo
@alfakihi1263,2025-09-13T02:17:24Z,Sepatulabang
@itzz_ranu,2025-09-13T02:03:32Z,Gw kaget pas dia mimpi pas mau ngecek diluar dia nya muncul di cermin kan kaget gw 
@RedmiDelapan-tm9qw,2025-09-13T00:21:18Z,Bang Reki kok ngak pernah main game Minecraft 
@riska2512,2025-09-12T15:13:53Z,Itu game apa
@aangalaxy8691,2025-09-12T15:12:27Z,makasihh bangg udaaa ngehiburr akuu dariii sd sampaii kiniii kelass 1 smk channel inii berjasaaa
@liya_imup,2025-09-12T11:39:14Z,"Pas adegan a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3230""53:50a situ aku kayak takut buat nonton"
@zizkojima,2025-09-12T08:23:25Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t362""6:02a nonton sambil makan telor"
@Ohmykeikei429,2025-09-12T06:24:41Z,kak kan modinner pernah main nama akun nya modinner
@BintangBintang-x4z,2025-09-12T06:15:38Z,Bang coba main fnaf 2 raimagined di Roblox bang
@ahmadyusup-q6m,2025-09-11T14:50:29Z,ka regi coba main game horor baca alquran susah dan seram pokonya
@elisajuliana6775,2025-09-11T14:08:51Z,Nang regi main game daendam nenek kanibal itu game Agung Arip juga plliiiiiissss
@Adinda_11-s3j,2025-09-11T04:57:49Z,ini gamenya apa sj gua cri diplay stor gaada
@honney107,2025-09-10T14:43:36Z,
@AlkhaAldi,2025-09-10T14:16:07Z,the following the whatbrdude thef wras how muchbryesterday 
@englishlearningbymaya,2025-09-10T14:00:50Z,Bank main game granny 52 wake up lagi bang udah ada updatenya
@erikadestariana6835,2025-09-10T11:36:00Z,KOSNSNPLSLS
@MichaelHanasbey,2025-09-10T11:18:20Z,Siapa disini kaget juga ayo absen 
@RayyDinata-u6o,2025-09-10T10:33:14Z,Seru banget bang
@RayyDinata-u6o,2025-09-10T10:30:42Z,Hai
@RayyDinata-u6o,2025-09-10T10:30:17Z,Hai bang
@putrikarn,2025-09-10T10:11:40Z,"Udah sedih2 malah liat ending terakhir bikin ngakak, kesimpulannya pulang kerumah gak usah kunci pintu guys"
@Saidilyamin,2025-09-10T09:15:36Z,Kak regi coba main game hotel simulator
@RahmatSkw-f3q,2025-09-10T09:13:03Z,Apa nama game bang
@NAZI-k6s9o,2025-09-10T09:03:42Z,Aduh gak kerasa udah 2025 cepat banget ya dulu ada meme tahun 2023-2021 
@AmirulHaq-fx7lf,2025-09-10T07:22:38Z,Rifyu rumah kak regi dongbr
@lsiah2346,2025-09-10T06:20:07Z,Gwe langsung craving nasi goreng telur
@FitriahNurulhasanah,2025-09-10T02:57:01Z,Nama permainannya apah bang
@wahyukurniawan4873,2025-09-09T19:21:03Z,mantap kak regi
@yanandrihsb,2025-09-09T15:31:51Z,Aku suka banget  film  ini pokoknya  dari pada yang lain 
@DewaNova-p1r,2025-09-09T12:55:35Z,Di Bali 10rb sama 7 RB yg porsi anak ank
@SitiFatimah-v7r,2025-09-09T11:00:16Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t699""11:39a mama mia lozatos wkwkwkwkwkwkk"
@AGILINDRQ,2025-09-09T10:33:51Z,Sumpah menit 11 kaget bener  kak regi mukanya Sampek beda
@arisCrot-w6u,2025-09-09T09:48:39Z,padahal  aku udah siap siap biar gk kaget tpi tetep aj kaget
@nurradi5081,2025-09-09T09:10:10Z,iya
@raninurendah9490,2025-09-09T05:29:47Z,Kak miuwawu dara nama aku 
@MutiaraSenja-gx2fb,2025-09-09T03:53:38Z,main ke Jember bang.. nasgor 10rb ajaa 
@ElzaSohibulumam,2025-09-09T02:47:51Z,Bang anti makan ya soalnya gak pernah makan
@hermawansusanto1169,2025-09-08T17:49:48Z,sukisukisuki 100 
@nurpecel,2025-09-08T13:51:40Z,Viktor vikiran kotor 
@verlitaagustin,2025-09-08T08:21:14Z,Awas miawaug di belakang toko bunga awas miawaug adik kok dipikirin nanti kau kalau balik hati-hati bae itu di samping toko kau toko nasi goren
@verlitaagustin,2025-09-08T08:18:34Z,Miawaug pacaran gajah kalau dilempar film miawaug dilempar bagi meledak 2 langsung ganti namanya
@afz_cantik12,2025-09-08T07:36:29Z,Bisa gak sih pas di tusuk itu langsung lari gak usah liat kebelakang 
@str.vraa27,2025-09-08T06:35:30Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t2956""49:16a quot;dia lagi dia lagi_"
@Yuenda-g8e,2025-09-08T05:47:24Z,Karegi nanti live streaming main game Roblox main versi 99 malam
@pandamager2,2025-09-08T04:49:59Z,
@littlegirl380,2025-09-08T03:02:52Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3957""1:05:57a anjir tendangan helikopter"
@alifdwialdiansyah,2025-09-08T02:07:03Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t791""13:11a jumbo ya "
@ManMan-z7d6o,2025-09-07T18:52:09Z,Kayak Sabun bolong 
@devipriyanti4930,2025-09-07T11:18:43Z,"Ngakak waktu ada pembeli pertama,tiba tiba banget lupa bahan pertama yang harus di masukin"
@REYSAANDIRAMADHANI,2025-09-07T10:47:41Z,jadi mau nyoba night shift deh
@RudyJayaSaputra,2025-09-07T10:08:21Z,Buakakakakak wkwkwk wkwkwk wkwkwk mantuapss 
@hadiidd,2025-09-07T08:56:42Z,"udh lama ga nonton miawaug, terakhir kayaknya pas main the last of us, setelah itu sibuk sama dunia, skrg lg gabut dan niat mau nonton miawaug mainin game2 story yang baru, tpi pas lihat channelnya knp isinya game2 random begini? wkwkwkwk"
@riskiyuanitakomalasari3853,2025-09-07T07:49:34Z,Gk main epep lagi
@RosdiYoktin,2025-09-07T06:40:10Z,Kok gitu muka ibunya 
@AltCrashtappen,2025-09-07T06:30:12Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t792""13:12a alamak ada baju kampanye prabowo dan gibran wkwkkwkwa href""UCkszU2WH9gy1mb0dV-11UJgKsIfY6LzFoLM6AKanYDQAg""aa href""UCkszU2WH9gy1mb0dV-11UJgKsIfY6LzFoLM6AKanYDQAg""a"
@Anggalaraya,2025-09-07T06:23:19Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3956""1:05:56a "
@BariAlmuiz,2025-09-07T05:18:50Z,Kenapa gak pakek kerupuk bang kan makan nasi goreng enakan pakek kerupuk
@Galonkayangan-l8i,2025-09-07T04:56:56Z,Demi apa bg regi dulu orang susah?
@NAUFAL_ali268,2025-09-07T04:36:59Z,ending terakhirnya wkwkwkwkkwwkk
@VANZO-t9c,2025-09-07T03:54:59Z,Lah kok mirip rumah di last laugh bang 
@its_nurii,2025-09-07T02:04:09Z,deg deg an bgt nontonnyaa
@FullAuraMC,2025-09-07T00:17:55Z,Kenapa hitam
@syifashafa6836,2025-09-06T20:38:08Z,sumpah piring kok di lempar untuk di dunia game kalo dunia nyata dah pecah tuh piring
@widiantosolo3941,2025-09-06T20:36:16Z,
@EstherCH7,2025-09-06T15:25:44Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3954""1:05:54a ngakak bgt"
@RasyaNaja,2025-09-06T13:39:37Z,"Halo bang Regi atau akrab nya bisa di bilang miawaug saya adalah orang yang sering menonton channel miawaug saat saya masih kecil dan di tahun 2017 dan sampai sekarang, dan sekarang saya baru mempunyai HP saat tahun 2025 semangat terus ya bangg sekarang makin seruuu "
@HalimAlim-h3r,2025-09-06T12:21:03Z,𝗸𝗴𝗸 𝗱𝗶𝗯𝗮𝘆𝗮𝗿 𝗯𝗴
@OtttaLina,2025-09-06T09:34:20Z,Bang aplikasi nya nama nya apa ya bang
@AnwarAnwar-j9m,2025-09-06T08:26:30Z,Nama belakang ku Valeria
@Rizzking2021,2025-09-06T07:52:04Z,
@Naura-x1l,2025-09-06T07:30:41Z,Prabowo gibran 
@PPKPekanbaruKota,2025-09-06T07:08:26Z,bang  namagem
@tiara4383,2025-09-06T06:16:14Z,Candu banget pas bilang mantab
@WicaksonoOno,2025-09-06T06:02:00Z,Semangat 
@WicaksonoOno,2025-09-06T06:00:50Z,
@WicaksonoOno,2025-09-06T06:00:11Z,
@WicaksonoOno,2025-09-06T05:59:52Z,
@WicaksonoOno,2025-09-06T05:59:36Z,
@WicaksonoOno,2025-09-06T05:59:18Z,
@WicaksonoOno,2025-09-06T05:58:04Z,
@herniftryana,2025-09-06T05:16:20Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t2662""44:22a wkwkwkwkwkwkwkwkwk"
@lyakusuma9475,2025-09-06T04:47:06Z,Om Arya kagetinn
@BasilicaKaren,2025-09-06T04:46:13Z,quot;Sabun mencurigakanquot;brAstaga Miawaug
@IqmalDanis,2025-09-06T04:35:38Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t554""9:14a kayak rumahnya Jaki gak sih, yang di game Last laugh."
@wantiangraini,2025-09-06T04:02:33Z,Game RX king dilempar piringnya
@sdn7namang689,2025-09-06T02:06:09Z,Bang namaku dina
@AlmostmeShal,2025-09-06T02:00:06Z,
@naniadicky9742,2025-09-06T01:58:04Z,11.37
@AnisFitria-x9j,2025-09-06T01:49:39Z,Nama gem nya apa
@NurulElok-h8l,2025-09-05T23:30:50Z,ᗩᖽᐸᑘ ｎｏｎｔｏｎ ˢᵃᵐᵇᶦˡ måkåñ ꪀɑ꯱ꪱ ɢᴏʀᴇɴɢ 𝒿𝓊𝑔𝒶
@dewisrirahayu5904,2025-09-05T22:44:30Z,"Nasi goreng bapaku kak, di daerah bekasi barat masih 13k "
@iksanhuda6830,2025-09-05T17:26:19Z,di Surabaya masih banyak bang nasi goreng 13rb
@muh.shafieq6077,2025-09-05T17:04:31Z,Dari secretnya ini bisa disimpulkan bahwa ending yang sebenarnya adalah dimana si cewek di bunbun sama si Victor dan dikisah lanjutannya adalah sang paman yang bakal ngungkapin pelakunya
@najmishadiq,2025-09-05T16:40:33Z,Gak pernah nonton game horor segelisah ini banggg
@chelinevelna5285,2025-09-05T14:36:54Z,ngakak banget emang hrus bgt yah telurnya dilempar ke wajan
@erzizah4092,2025-09-05T14:01:19Z,Arya nama crush aku
@ratnajuwita9600,2025-09-05T13:50:24Z,Gak ekspek endingnya 
@SkiggmaGgg,2025-09-05T13:35:57Z,"Bang miau ada satu ending yang agak lucu lupas di suruh berhenti tetap kerja tapi pas di suruh kunci pagar ama pintu lu kunci pagar aja nanti bakalan viktor terobos trs ada pak arya nanti bakalan duel trs ending nya viktor k o a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3441""57:21a"
@badrushsynyster9172,2025-09-05T13:25:44Z,siap
@GgMartin-x1b,2025-09-05T12:43:01Z,"bang windah live ngedaki mulu, lagi pengen nonton horor jadiny pindah kesini"
@AnisFitria-x9j,2025-09-05T12:41:11Z,Kok ibu nya aneh
@MustofaAbsolute,2025-09-05T11:26:53Z,Kagetnya nyetrum bg
@noorparida-k7m,2025-09-05T11:15:50Z,Miawaug
@EksanChandra,2025-09-05T10:33:19Z,AKHIRNYA NONTO MIAUAUG
@NovaauliaRahmi,2025-09-05T08:57:44Z,pesti itubg miawawk kan godagoda cewekbr
@ashana-0877,2025-09-05T05:48:16Z,Plastiknya invinity kah
@EcaEca-x8m,2025-09-05T04:01:13Z,Kak muka anaknya kaya muka aku waktu kecil sumpah 
@muridnyamiawaug,2025-09-05T03:56:14Z,mamamia lezatos
@srisusanti5581,2025-09-05T03:21:12Z,Jurus apantuh 
@DwiSeptian-c7k,2025-09-05T01:30:59Z,Mamalia lesatos 
@AdeSafitri-r6l,2025-09-05T00:42:48Z,Ka regi ga takut apa 
@DinaTa-n3d,2025-09-04T17:06:26Z,quot;aku lupaquot; 
@reyvaldiofficial2987,2025-09-04T15:51:40Z,Nama game ini apa
@bordonhiking,2025-09-04T14:08:30Z,ARYA 
@bordonhiking,2025-09-04T14:08:03Z,ARYA
@HasnaSyarifuddin-re4sd,2025-09-04T13:51:24Z,"Belum apa apa udah kaget a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t591""9:51a"
@AfriliaIramaputri,2025-09-04T13:02:03Z,Semangat main game nya bg
@IlhamFratama-y4d,2025-09-04T12:20:20Z,miawAug sus
@AlGhozali12Sulthan,2025-09-04T10:38:36Z,hanya satu streamer ini yang berani saya liat di depan ortu 
@Arya-j1g8i,2025-09-04T09:59:48Z,Arya Ade ku
@Arya-j1g8i,2025-09-04T09:56:53Z,Kaget pas mamah nya 2
@miaw3471,2025-09-04T05:41:40Z,"Tidak sabar buat liat kak Egi mainin little nightmares 3, sama reanimal mirip little nightmares itu "
@andisafrijal423,2025-09-04T04:12:08Z,Thang you kak regi buat video untuk kami
@MadeArya-s4x,2025-09-04T03:42:05Z,Itu kayak namaku arya
@AisyahakilaAisyah,2025-09-04T03:41:16Z,"di a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1410""23:30a itu nama kawan gw"
@ZakkiRoktaroka,2025-09-04T02:47:08Z,Sudah kuduga ending nya kek gitu
@aditiaaditia678,2025-09-03T23:36:12Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t341""5:41a brmagic brLogic "
@HermanSyah-h4k,2025-09-03T14:28:56Z,Orang pertama belum ngasih uang wkwkwk
@anisri-u9k,2025-09-03T14:19:42Z,singkat saja pak rt
@MegawatiMega-w8z3v,2025-09-03T14:07:39Z,Pasti piring nya hasil gtris dri beli sabun cuci piring 
@jeslinjesling1583,2025-09-03T14:02:36Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3938""1:05:38a  Ngakak "
@fazarjs05,2025-09-03T13:05:46Z,Tsunami kick 
@pratamus,2025-09-03T13:04:50Z,36.11 itu nama aku tama 
@GeaGea-j8s,2025-09-03T12:55:56Z,fajiv
@olineeechannell,2025-09-03T12:14:54Z,kan regi main 99 malam di hutan di roblox
@jibanjiban2659,2025-09-03T11:35:57Z,Ending yang sangat kocak 
@NoufalAlifi,2025-09-03T11:20:36Z,kaget nya nyetrum jir
@fanncokkk,2025-09-03T11:18:44Z,Obsessed night shift
@Rizal-l4c,2025-09-03T09:29:11Z,Ketawa juga 
@Rizal-l4c,2025-09-03T09:28:03Z,Gue kaget
@elisajuliana6775,2025-09-03T08:46:16Z,Mingkin nama game nya jadi opsy night syif 2
@AliDin-ju3gq,2025-09-03T07:33:43Z,Jumpscare nya bikin hati mw keluar dari kanan
@andisafrijal423,2025-09-03T06:36:39Z,Aku sukak semua fideo mu miau aug
@Vetomen-g5m,2025-09-03T05:41:26Z,Itu tulisan nya nasgor goreng berarti nasi goreng goreng
@Mukhtar-t3x,2025-09-03T04:39:49Z,Masyallah semangat
@gyopawitra,2025-09-03T04:31:30Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3957""1:05:57a helikopter "
@potatomashed03,2025-09-03T04:16:55Z,telornya gak abis abis
@ekopamudji8090,2025-09-03T04:16:46Z,Tipe layar ke 
@dahlahsad2109,2025-09-03T04:13:16Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t2262""37:42a wkwkwk ngutang semua"
@hizqiaaulia4463,2025-09-03T02:52:33Z,Bang nama gamenya apa
@azoziore,2025-09-03T01:22:11Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3955""1:05:55a ngakakk"
@amanul44n,2025-09-02T22:38:47Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t3912""1:05:12a gelut time wkwkwk"
@HerniHerni-e6w,2025-09-02T18:35:46Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t700""11:40a gemeter sebdn"
@TEMAN1222,2025-09-02T13:49:04Z,pelanggan adalah raja
@KCUNKMotorpusat,2025-09-02T12:43:56Z,Nama gemes nya apa btw aku pakai hp bagian sa gk
@tazkiakiye,2025-09-02T12:28:15Z,sumpah ini tontonan miawaug yang paling seram di miawaug bagi aku seram banget dan seru bangett
@ZaifaSaban,2025-09-02T12:07:05Z,Siapa kaget sama om Arya 
@AkangMarsose-nh8nu,2025-09-02T11:13:11Z,sigma
@King.MadMadrit,2025-09-02T10:27:41Z,Nama gem
@AditRizki093,2025-09-02T09:41:26Z,Bang aku tadi lihat Abang di iklan ko bisa ya? ada yang janggal
@AbyanMirza-z8y,2025-09-02T08:52:28Z,Mahar gramma yok bg
@KeylaPanjaitan-r5d,2025-09-02T08:49:33Z,Bang gw cari game ini tapi gak ada
@julinarcut897,2025-09-02T08:36:43Z,Ngakak banget pas Mamamia lezat tos
@MAHESAPURNAMAJATI,2025-09-02T08:04:53Z,timunnya ga di kasih ke costumer 
@diieload,2025-09-02T07:39:20Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t793""13:13a quot;jumbo ya? ohh lucu bangetquot;bra href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t797""13:17a quot;atau bukan gaes? kayanya gua salah deh.quot;brbrbang, aku numpang ngakak wkwkw"
@kevin_gaming566,2025-09-02T07:37:47Z,"a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t1852""30:52a ngakak aku woii"
@ANI.NR.official,2025-09-02T06:53:57Z,"Bang non muslim ya a href""https:www.youtube.comwatch?vuNgCzh-WAx8amp;t461""7:41a"
@mayangsarisiamuthaharah4159,2025-09-02T06:52:31Z,miaw aug orang mana sihh
@wenda67,2025-09-02T06:45:33Z,
